Timestamp,Player Name,Player UUID,Class,ID,Name,Position,Change,Old Data,New Data
"2025-01-19T20:17:56.323Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1371, 72, 46)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-19T20:17:58.395Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1371, 72, 49)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-19T20:17:59.720Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1371, 72, 52)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-19T20:18:00.920Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1371, 72, 55)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-19T20:18:36.439Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1364, 72, 45)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-19T20:48:21.773Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1368, 70, 19)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-19T21:37:26.168Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1184, 70, 49)
(1287, 72, 49)","CREATE","{}","{
  ""type"": ""DIAMOND"",
  ""one_way"": false
}"
"2025-01-19T21:37:27.514Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1184, 70, 52)
(1287, 72, 52)","CREATE","{}","{
  ""type"": ""DIAMOND"",
  ""one_way"": false
}"
"2025-01-19T21:38:22.783Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1365, 72, 45)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-19T21:38:25.317Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1334, 72, 45)
(1365, 72, 45)","CREATE","{}","{
  ""type"": ""PLATFORM"",
  ""one_way"": false
}"
"2025-01-19T21:38:33.969Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1334, 72, 56)
(1365, 72, 56)","CREATE","{}","{
  ""type"": ""PLATFORM"",
  ""one_way"": false
}"
"2025-01-19T21:40:54.173Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1365, 72, 56)
(1374, 72, 52)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": true
}"
"2025-01-19T21:40:56.716Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1365, 72, 45)
(1374, 72, 49)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": true
}"
"2025-01-19T21:41:02.166Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1398, 72, 46)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-19T21:41:03.413Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1398, 72, 49)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-19T21:41:04.270Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1398, 72, 52)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-19T21:41:05.082Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.block.BlockNode","","","(1398, 72, 55)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2025-01-19T21:43:29.364Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1380, 72, 49)
(1407, 72, 49)","CREATE","{}","{
  ""type"": ""SIDING"",
  ""one_way"": false
}"
"2025-01-19T21:43:41.912Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1380, 72, 52)
(1407, 72, 52)","CREATE","{}","{
  ""type"": ""SIDING"",
  ""one_way"": false
}"
"2025-01-19T21:43:47.013Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1374, 72, 52)
(1380, 72, 52)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": true
}"
"2025-01-19T21:43:49.611Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1374, 72, 52)
(1380, 72, 49)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": true
}"
"2025-01-19T21:43:51.263Z","GhostSaintRD","109f6a92-377e-3cc5-be0d-ef354efa063c","mtr.data.Rail","","","(1374, 72, 49)
(1380, 72, 49)","CREATE","{}","{
  ""type"": ""WOODEN"",
  ""one_way"": true
}"
